id,new_filename,original_filename,sha256,bytes,note
TD-20260913-041,TD-20260913-041-psu-terminal-wiring-01.jpg,20260913_132802.jpg,e17c614f56d471c4378e250545bcb9f249d314194bd647fc38c3d3976a743fc3,2056919,psu terminal wiring 01
TD-20260913-042,TD-20260913-042-psu-terminal-wiring-02.jpg,20260913_132810.jpg,c37310228677c82fe2816161d20752d4230c3c9c27d3080e1f0d466b6f6a6417,1956857,psu terminal wiring 02
TD-20260913-043,TD-20260913-043-psu-terminal-block-01.jpg,20260913_132856.jpg,ddc24cc274f083e409e48366d7cf56af52bd12c0466580d23799a25445dc1b6c,2068091,psu terminal block 01
TD-20260913-044,TD-20260913-044-psu-terminal-block-02.jpg,20260913_132902.jpg,8c7db9cfe7e385ad876a487c38156a4f282f1ec928c48d8e88c93dc0efcdfbd0,1966808,psu terminal block 02
TD-20260913-045,TD-20260913-045-controller-board-wiring-overview.jpg,20260913_132933.jpg,8e0f257f9c1a6b9e43f5cb43b27e35a28b50efb8f5b071ec55070a139b2ac06c,2166118,controller board wiring overview
TD-20260913-046,TD-20260913-046-removed-cable-ties-and-wires.jpg,20260913_153733.jpg,eef36dc35400b3a95c343112cce9b0fc1d9d4829a80099a028bba6ddad5da748,2895560,removed cable ties and wires
TD-20260913-047,TD-20260913-047-electronics-and-fasteners-overview.jpg,20260913_153744.jpg,2920d435e7f9719dc8ea007ba0889b37d88e858f6b24e2d9afc72200eb764168,3695842,electronics and fasteners overview
TD-20260913-048,TD-20260913-048-printed-parts-and-hardware-overview.jpg,20260913_153746.jpg,f1eea5989d208b9f31a6f638f6394d2104e58dadb24c4fc55bdea43e12fd6aec,2218466,printed parts and hardware overview
TD-20260913-049,TD-20260913-049-heated-bed-and-y-axis-overview.jpg,20260913_153749.jpg,46a5dffac629e6ce2f90962352d6eef4fe73fb6aa9713dc695bdb9d23b473185,2864876,heated bed and y axis overview
TD-20260913-050,TD-20260913-050-power-supply-removed-overview.jpg,20260913_153751.jpg,cf51aac156c7b39b4b61cfc33bbe011c683bce6d123c8302b1a089f8f044a49e,2263140,power supply removed overview
TD-20260913-051,TD-20260913-051-electronics-stack-and-lcd-overview.jpg,20260913_153855.jpg,4afcf2a71e54a83a5a09fe18033824a08a6c87d965aa54a3c9755ea5a2ca8f24,2926426,electronics stack and lcd overview
TD-20260913-052,TD-20260913-052-controller-board-rear-01.jpg,20260913_153859.jpg,382072e2428bab891af5198f6685392e60421708de72764d812d0d32759ca559,1878333,controller board rear 01
TD-20260913-053,TD-20260913-053-controller-board-rear-02.jpg,20260913_153903.jpg,09a493d72b530fad6d833cd6f5418f15b36e2a01016e2e1a9a76d29405479464,2411135,controller board rear 02
TD-20260913-054,TD-20260913-054-lcd-smart-adapter-rear.jpg,20260913_153908.jpg,d7362a7f04c819918fc973edd7e4a3b85beae6f2b47af86c80b2eccd24a63f09,2454239,lcd smart adapter rear
TD-20260913-055,TD-20260913-055-lcd-smart-adapter-connector-01.jpg,20260913_153914.jpg,93eba858122f6042063d36aa1a9198bf270e2efcfd2b3f75816eca309254c46d,2768722,lcd smart adapter connector 01
TD-20260913-056,TD-20260913-056-ramps-board-component-side.jpg,20260913_153920.jpg,4e64e475460b7bd96a1a880b5f343a09fc759148df4ab4bd5ee66d86dcbc54a1,2364699,ramps board component side
TD-20260913-057,TD-20260913-057-arduino-mega-2560.jpg,20260913_153926.jpg,ca3be51389ae6d520aadfd57cd5f6734a86133c1e04caf4dcddbb43126442b5f,2686688,arduino mega 2560
TD-20260913-058,TD-20260913-058-graphic-lcd-controller-front.jpg,20260913_153932.jpg,124ed3c3ecd94fdb3a4e8e035cafcbbaaf867490210266ff020fb04463d3335a,2643564,graphic lcd controller front
TD-20260913-059,TD-20260913-059-lcd-smart-adapter-connector-02.jpg,20260913_153938.jpg,841e66e3f3b3099c6b0c48c9e68ad6f8fed52512b15afbba8461f94070a5f0ea,2585225,lcd smart adapter connector 02
TD-20260913-060,TD-20260913-060-bed-leveling-bolts-and-springs.jpg,20260913_154030.jpg,d4d30afeeb77893895b85cba88a3c31cea96e76d52dde5d6f4b6698d3cd5d680,2505433,bed leveling bolts and springs
TD-20260913-061,TD-20260913-061-bed-leveling-springs.jpg,20260913_154045.jpg,153a6047871b0d7f55409a441934a5c1d9a474c4483a790b869da92b8b38b2d5,2813590,bed leveling springs
TD-20260913-062,TD-20260913-062-small-black-printed-parts.jpg,20260913_154059.jpg,44cba5f5ea5fe0d68a5c838591b71a06bcc1985a9be7c2137a4426d62e3a902f,2732111,small black printed parts
